일반차량 전일 월정기요금,주간 월정기요금,야간 월정기요금,주차요금 지불방식,총주차대수,주차상한제,자율요일제,수정일자,특기사항,야간개방사업여부,지원주차장설치여부,주차장사진매수,도면매수,일반인 개방여부,GIS링크,과거 GIS링크,JM_ISCHK,기타사항,메모,JM_SJ_CONT,JM_KJ_CONT,JM_N_STTIME,JM_N_EDTIME,JM_OPN_STTIME,JM_OPN_EDTIME,JM_OPH_STTIME,JM_OPH_EDTIME,JM_OPE_STTIME,JM_OPE_EDTIME,JM_IN_CHARGE,대시민표출주차면수,공유주차장 코드,위도,경도
-,-,-,-,5,N,0,2019-12-31 0:00,11260-10500-043-3-803090|망우동 1산 352번지 52호,0,0,0,0,1,1.12601E+18,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,37.60424205,127.1032262
-,-,-,-,7,N,0,2019-12-31 0:00,11260-10100-072-3-1366310|면목동 1산 96번지 90호,0,0,0,0,1,1.12601E+18,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,37.59163179,127.0916402
-,-,-,-,6,N,0,2019-12-31 0:00,11260-10100-104-3-954317|면목동 1산 371번지 159호,0,0,0,0,1,1.12601E+18,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,37.57535944,127.0865913
-,-,-,-,12,N,0,2019-12-31 0:00,11260-10100-079-3-692398|면목동 1산 151번지 32호,0,0,0,0,1,1.12601E+18,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,37.58544735,127.080591
-,-,-,-,1,N,0,2019-12-31 0:00,11260-10100-065-3-1366583|면목동 1산 141번지 23호,0,0,0,0,1,1.12601E+18,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,37.58873041,127.0817255
-,-,-,-,1,N,0,2019-12-31 0:00,11260-10200-041-3-848462|상봉동 1산 38번지 18호,0,0,0,0,1,1.12601E+18,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,37.60169424,127.0945397
-,-,-,-,4,N,0,2019-12-31 0:00,11260-10100-106-3-901968|면목동 1산 1343번지 40호,0,0,0,0,1,1.12601E+18,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,37.57107713,127.0869477
-,-,-,-,4,N,0,2019-12-31 0:00,11260-10100-090-3-1423901|면목동 1산 158번지 11호,0,0,0,0,1,1.12601E+18,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,37.58461762,127.0817712
-,-,-,-,5,N,1,2019-12-31 0:00,11410-11100-68-3-5408|홍제동356번지88호,0,0,0,1,1,1.14101E+18,1.14101E+18,0, 주차면감소사용중,-,-,-,-,-,-,-,-,-,-,-,-,5,1,37.58482618,126.939087
-,-,-,-,2,N,1,2019-12-31 0:00,11410-11100-68-3-5405|홍제동356번지71호,0,0,0,0,1,1.14101E+18,1.14101E+18,0,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,37.584403,126.9394592
-,-,-,-,1,N,1,2019-12-31 0:00,11410-11700-118-3-9244|연희동151번지107호,0,1,0,0,1,1.14101E+18,-,0, 지원주차장사용중,-,-,-,-,-,-,-,-,-,-,-,-,0,1,37.57558731,126.9326691
-,-,-,-,4,N,1,2019-12-31 0:00,11410-11700-105-3-7908|연희동344번지78호,0,1,0,0,1,1.14101E+18,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,4,1,37.56232991,126.9306951
-,-,-,-,6,N,0,2019-12-31 0:00,11260-10300-046-3-850837|중화동 1산 325번지 54호,0,0,0,0,1,1.12601E+18,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,37.59689319,127.0713448
-,-,-,-,1,N,0,2019-12-31 0:00,11260-10500-077-3-952209|망우동 1산 406번지 11호,0,0,0,0,1,1.12601E+18,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,37.5938643,127.1025786
-,-,-,-,2,N,1,2019-12-31 0:00,11410-12000-19-3-2100|남가좌동9번지9호,0,0,0,0,1,1.14101E+18,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,37.58352591,126.9240507
-,-,-,-,12,N,1,2019-12-31 0:00,11380-10600-37-3-00090|대조동 1산 190번지 48호,0,0,1,1,0,1.13801E+18,-,0, 주차면추가사용중,-,-,-,-,-,-,-,-,-,-,-,-,7,1,37.61473459,126.9236221
-,-,-,-,3,N,1,2019-12-31 0:00,11410-12000-19-3-2089|남가좌동8번지11호,0,0,0,0,1,1.14101E+18,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,3,1,37.58319042,126.9239062
-,-,-,-,2,N,1,2019-12-31 0:00,11410-12000-19-3-2106|남가좌동9번지35호,0,0,0,0,1,1.14101E+18,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,37.58291181,126.9242303
-,-,-,-,4,N,1,2019-12-31 0:00,11410-11400-101-3-7460|신촌동2번지136호,0,0,0,0,1,1.14101E+18,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,4,1,37.56807224,126.9484441
-,-,-,-,3,N,1,2019-12-31 0:00,11410-12000-19-3-2087|남가좌동8번지9호,0,0,0,0,1,1.14101E+18,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,3,1,37.58333427,126.9239654
